Invoice_number,Customer_id,Service_id,Agent_id,Billing_date,Payment_status,Transaction_type,Mode_of_payment,Plan_name,Plan_category,Plan_charge,Tax_amount,Actual_amount,Billed_amount,Paid_amount,Balance_amount,Plan_start_date,Plan_end_date,Zone_area,Data_bought,Data_used,Billing_cycle,No_of_valid_days,Leakage,Anomaly_type
INV104607,CUST001394,SVC3724,AGT053,28-06-2024,Pending,Bill Payment,Net Banking,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0,2358.82,27-06-2024,28-07-2024,Circle-South,50,27.13,31,31,No,No anomaly
INV105534,CUST003365,SVC7654,AGT050,15-09-2023,Paid,New Connection,Cash,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0,10-09-2023,08-10-2023,Metro-B,150,49.72,28,28,No,No anomaly
INV109306,CUST003939,SVC1908,AGT113,05-09-2024,Paid,Bill Payment,Net Banking,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0,04-09-2024,02-10-2024,Circle-South,1000,1800.13,28,28,Yes,Extra data usage
INV106887,CUST006471,SVC6434,AGT017,28-12-2024,Paid,Plan Change,Wallet,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,6881.74,-2162.92,26-12-2024,23-01-2025,Circle-East,150,129.1,28,28,Yes,Excess payment
INV101486,CUST003011,SVC5889,AGT030,03-11-2023,Paid,Bill Payment,Net Banking,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,11798.82,0,02-11-2023,02-12-2023,Circle-South,750,52.31,30,30,No,No anomaly
INV109026,CUST007694,SVC7129,AGT137,28-01-2025,Paid,Recharge,Net Banking,Data Booster,Prepaid,999,179.82,1178.82,1178.82,1178.82,0,26-01-2025,23-02-2025,Metro-A,25,50.58,28,28,Yes,Extra data usage
INV103562,CUST005548,SVC7444,AGT033,30-01-2025,Pending,Recharge,Debit Card,Smart Connect,Prepaid,699,125.82,824.82,824.82,0,824.82,26-01-2025,25-02-2025,Circle-East,15,8.86,30,30,No,No anomaly
INV106000,CUST005936,SVC5453,AGT033,23-08-2024,Paid,New Connection,Net Banking,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0,20-08-2024,19-09-2024,Metro-B,200,5.44,30,30,Yes,Duplicate entries
INV101216,CUST000806,SVC7280,AGT149,09-03-2024,Paid,Recharge,Net Banking,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,2948.82,0,05-03-2024,02-04-2024,Circle-South,75,48.69,28,28,No,No anomaly
INV101364,CUST006285,SVC1326,AGT093,18-10-2023,Pending,Recharge,Wallet,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,0,3538.82,14-10-2023,11-11-2023,Circle-East,100,45.3,28,28,No,No anomaly
INV101763,CUST006399,SVC8827,AGT093,07-02-2025,Paid,Plan Change,Cash,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,2948.82,0,05-02-2025,08-03-2025,Circle-South,75,60.19,31,31,No,No anomaly
INV100593,CUST005861,SVC5243,AGT027,11-10-2024,Paid,New Connection,Credit Card,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,11798.82,0,06-10-2024,05-11-2024,Metro-A,750,650.23,30,30,No,No anomaly
INV106851,CUST000326,SVC2843,AGT134,11-07-2024,Paid,Plan Change,Auto Debit,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,9575.92,-3677.1,09-07-2024,09-08-2024,Metro-B,200,23.2,31,31,Yes,Excess payment
INV106032,CUST000780,SVC1986,AGT020,28-03-2025,Paid,New Connection,Net Banking,Enterprise Pro,Enterprise,7999,1439.82,9438.82,8305.22,8305.22,0,24-03-2025,24-04-2025,Rural-Zone,500,166.33,31,31,Yes,Missing charges
INV103097,CUST006010,SVC3745,AGT054,14-08-2024,Pending,Plan Change,Credit Card,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,0,2948.82,09-08-2024,09-09-2024,Metro-B,75,6.5,31,31,No,No anomaly
INV107326,CUST002913,SVC7086,AGT033,25-10-2024,Paid,Renewal,Net Banking,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,20914.88,-9116.06,24-10-2024,23-11-2024,Circle-South,750,711.48,30,30,Yes,Excess payment
INV106576,CUST001014,SVC5305,AGT108,08-07-2025,Paid,New Connection,UPI,Youth Special,Prepaid,599,107.82,706.82,798.04,798.04,0,04-07-2025,03-08-2025,Circle-West,10,8.37,30,30,Yes,Missing charges
INV105014,CUST007289,SVC1971,AGT088,29-02-2024,Paid,Recharge,Wallet,Data Booster,Prepaid,999,179.82,1178.82,1178.82,1178.82,0,26-02-2024,27-03-2024,Metro-B,25,5.32,30,30,No,No anomaly
INV107040,CUST000113,SVC5925,AGT040,18-04-2024,Paid,New Connection,Auto Debit,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,11948.61,-2509.79,16-04-2024,14-05-2024,Circle-West,500,414.06,28,28,Yes,Excess payment
INV106825,CUST000045,SVC9915,AGT122,12-08-2024,Paid,Plan Change,Cash,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,8261.98,-3543.16,08-08-2024,08-09-2024,Circle-North,150,122.15,31,31,Yes,Excess payment
INV107131,CUST001307,SVC4978,AGT073,14-05-2025,Paid,Plan Change,Cash,Data Booster,Prepaid,999,179.82,1178.82,1178.82,1920.31,-741.49,10-05-2025,07-06-2025,Circle-South,25,22.97,28,28,Yes,Excess payment
INV108368,CUST004209,SVC9628,AGT108,16-02-2025,Paid,Renewal,UPI,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0,12-02-2025,14-03-2025,Circle-East,1000,532.9,30,42,Yes,Usage mismatch
INV103588,CUST003293,SVC6080,AGT095,15-06-2025,Paid,Recharge,Cash,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,1532.82,0,13-06-2025,14-07-2025,Circle-South,40,33.89,31,31,No,No anomaly
INV107919,CUST002380,SVC5529,AGT046,28-06-2024,Partial,New Connection,Auto Debit,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,4357.43,7441.39,26-06-2024,27-07-2024,Metro-B,750,549.28,31,31,Yes,Under payment
INV106540,CUST003734,SVC3824,AGT096,26-11-2024,Paid,Renewal,Credit Card,Smart Connect,Prepaid,699,125.82,824.82,1155.97,1155.97,0,25-11-2024,25-12-2024,Circle-South,15,10.43,30,30,Yes,Missing charges
INV105025,CUST005762,SVC9382,AGT131,11-07-2025,Paid,Bill Payment,Cash,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0,08-07-2025,08-08-2025,Rural-Zone,30,9.04,31,31,No,No anomaly
INV107579,CUST001849,SVC2684,AGT047,11-05-2025,Partial,Bill Payment,Debit Card,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5231.73,667.09,10-05-2025,09-06-2025,Circle-East,200,79.08,30,30,Yes,Under payment
INV102890,CUST002271,SVC6234,AGT055,01-01-2024,Pending,Bill Payment,Auto Debit,Smart Connect,Prepaid,699,125.82,824.82,824.82,0,824.82,27-12-2023,27-01-2024,Metro-B,15,8.37,31,31,No,No anomaly
INV104451,CUST001593,SVC1742,AGT032,11-10-2024,Pending,Renewal,Wallet,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0,5898.82,06-10-2024,05-11-2024,Circle-West,200,42.48,30,30,No,No anomaly
INV100198,CUST002745,SVC5662,AGT117,09-01-2025,Paid,Bill Payment,Wallet,Basic Starter,Prepaid,399,71.82,470.82,470.82,470.82,0,06-01-2025,05-02-2025,Circle-South,5,4.41,30,30,No,No anomaly
INV102689,CUST006243,SVC6574,AGT071,12-10-2023,Paid,Plan Change,Wallet,Basic Starter,Prepaid,399,71.82,470.82,470.82,470.82,0,07-10-2023,07-11-2023,Circle-East,5,0.02,31,31,No,No anomaly
INV107465,CUST000268,SVC2495,AGT081,08-06-2025,Partial,Recharge,Credit Card,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,752.85,1015.97,04-06-2025,02-07-2025,Circle-North,30,27.86,28,28,Yes,Under payment
INV106525,CUST003543,SVC3227,AGT047,14-03-2024,Paid,Renewal,Cash,Corporate Elite,Postpaid,3999,719.82,4718.82,6636.64,6636.64,0,11-03-2024,11-04-2024,Rural-Zone,150,54.61,31,31,Yes,Missing charges
INV100302,CUST001914,SVC2223,AGT052,28-09-2023,Pending,Plan Change,Auto Debit,Youth Special,Prepaid,599,107.82,706.82,706.82,0,706.82,25-09-2023,26-10-2023,Rural-Zone,10,4.3,31,31,No,No anomaly
INV101063,CUST006665,SVC7960,AGT038,19-10-2023,Paid,New Connection,UPI,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0,15-10-2023,12-11-2023,Circle-South,1000,440.77,28,28,No,No anomaly
INV105658,CUST002708,SVC9090,AGT047,11-11-2024,Pending,New Connection,Auto Debit,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0,2358.82,06-11-2024,06-12-2024,Circle-North,50,43.21,30,30,No,No anomaly
INV104203,CUST000380,SVC2074,AGT119,20-11-2024,Pending,Renewal,Wallet,Smart Connect,Prepaid,699,125.82,824.82,824.82,0,824.82,18-11-2024,18-12-2024,Metro-B,15,0.82,30,30,No,No anomaly
INV104512,CUST006272,SVC7427,AGT054,12-10-2024,Paid,Bill Payment,Credit Card,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,11798.82,0,08-10-2024,07-11-2024,Metro-B,750,566.82,30,30,No,No anomaly
INV101170,CUST005470,SVC2007,AGT017,23-10-2024,Pending,Plan Change,Auto Debit,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0,15338.82,22-10-2024,22-11-2024,Rural-Zone,1000,395.56,31,31,No,No anomaly
INV105104,CUST004726,SVC2051,AGT097,20-12-2024,Pending,Plan Change,Wallet,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0,1768.82,16-12-2024,16-01-2025,Circle-South,30,9.63,31,31,No,No anomaly
INV100349,CUST004266,SVC7506,AGT150,28-11-2023,Pending,New Connection,Credit Card,Youth Special,Prepaid,599,107.82,706.82,706.82,0,706.82,26-11-2023,24-12-2023,Circle-East,10,2.87,28,28,No,No anomaly
INV104326,CUST007430,SVC3748,AGT128,29-03-2024,Pending,Renewal,Cash,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,0,1532.82,27-03-2024,26-04-2024,Rural-Zone,40,24.08,30,30,No,No anomaly
INV104577,CUST003995,SVC9049,AGT039,01-05-2024,Paid,Renewal,Cash,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0,29-04-2024,29-05-2024,Circle-East,15,9.27,30,30,No,No anomaly
INV105870,CUST003678,SVC1302,AGT055,16-11-2023,Pending,Renewal,UPI,Smart Connect,Prepaid,699,125.82,824.82,824.82,0,824.82,11-11-2023,12-12-2023,Circle-West,15,11.76,31,31,No,No anomaly
INV106000,CUST006260,SVC7675,AGT004,01-05-2024,Paid,Renewal,Wallet,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,2358.82,0,27-04-2024,28-05-2024,Circle-East,50,30.52,31,31,Yes,Duplicate entries
INV108572,CUST001830,SVC9121,AGT116,08-05-2025,Paid,Plan Change,Credit Card,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0,04-05-2025,04-06-2025,Circle-North,30,25.19,31,26,Yes,Usage mismatch
INV101345,CUST002797,SVC5109,AGT045,31-03-2025,Paid,Renewal,Net Banking,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0,26-03-2025,25-04-2025,Metro-B,30,27.03,30,30,No,No anomaly
INV105937,CUST004646,SVC9380,AGT037,28-04-2024,Paid,Recharge,Wallet,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0,25-04-2024,26-05-2024,Circle-South,30,10.31,31,31,No,No anomaly
INV107965,CUST002648,SVC6938,AGT059,06-07-2024,Partial,Recharge,Debit Card,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,1282.66,250.16,05-07-2024,05-08-2024,Circle-North,40,20.91,31,31,Yes,Under payment
INV107392,CUST003016,SVC8721,AGT090,13-01-2025,Paid,Renewal,Wallet,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,2688.7,-1155.88,10-01-2025,10-02-2025,Circle-North,40,8.47,31,31,Yes,Excess payment
INV100627,CUST006234,SVC4693,AGT083,04-09-2024,Paid,Renewal,UPI,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,2948.82,0,31-08-2024,30-09-2024,Circle-East,75,53.66,30,30,No,No anomaly
INV106000,CUST000208,SVC2466,AGT092,01-08-2025,Paid,New Connection,Net Banking,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0,31-07-2025,31-08-2025,Circle-South,100,83.82,31,31,Yes,Duplicate entries
INV100212,CUST007680,SVC2848,AGT009,01-05-2024,Paid,Recharge,Wallet,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0,28-04-2024,26-05-2024,Rural-Zone,100,26.19,28,28,No,No anomaly
INV100396,CUST000611,SVC4063,AGT045,10-06-2024,Paid,Bill Payment,Credit Card,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0,06-06-2024,04-07-2024,Circle-South,500,467.14,28,28,No,No anomaly
INV108190,CUST003626,SVC2612,AGT038,25-06-2025,Partial,Renewal,UPI,Smart Connect,Prepaid,699,125.82,824.82,824.82,653.34,171.48,22-06-2025,22-07-2025,Circle-East,15,13.24,30,30,Yes,Under payment
INV101904,CUST003847,SVC7506,AGT024,14-05-2025,Pending,New Connection,Wallet,Youth Special,Prepaid,599,107.82,706.82,706.82,0,706.82,09-05-2025,08-06-2025,Circle-South,10,9.23,30,30,No,No anomaly
INV101850,CUST006451,SVC1523,AGT147,03-07-2025,Paid,New Connection,Cash,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0,02-07-2025,30-07-2025,Circle-South,30,0.43,28,28,No,No anomaly
INV109329,CUST000547,SVC8628,AGT061,02-04-2025,Paid,New Connection,UPI,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,1532.82,0,29-03-2025,26-04-2025,Metro-A,40,67.43,28,28,Yes,Extra data usage
INV101278,CUST001079,SVC6373,AGT109,20-05-2025,Pending,Renewal,Cash,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0,15338.82,16-05-2025,13-06-2025,Metro-B,1000,721.9,28,28,No,No anomaly
INV101089,CUST002001,SVC9631,AGT069,29-06-2025,Pending,Renewal,Cash,Data Booster,Prepaid,999,179.82,1178.82,1178.82,0,1178.82,24-06-2025,22-07-2025,Circle-East,25,20.64,28,28,No,No anomaly
INV108650,CUST006391,SVC1461,AGT061,05-11-2023,Paid,New Connection,Debit Card,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0,03-11-2023,03-12-2023,Circle-West,100,57.34,30,39,Yes,Usage mismatch
INV105211,CUST004327,SVC9790,AGT071,19-10-2023,Pending,Bill Payment,Credit Card,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0,11798.82,17-10-2023,14-11-2023,Circle-East,750,249.51,28,28,No,No anomaly
INV106004,CUST005764,SVC8494,AGT082,13-03-2024,Paid,Renewal,Credit Card,Executive Plan,Postpaid,2499,449.82,2948.82,2204.27,2204.27,0,11-03-2024,11-04-2024,Rural-Zone,75,45.82,31,31,Yes,Missing charges
INV106638,CUST002464,SVC9864,AGT080,14-09-2023,Paid,Recharge,Cash,Business Basic,Enterprise,4999,899.82,5898.82,3621.01,3621.01,0,09-09-2023,09-10-2023,Rural-Zone,200,101.75,30,30,Yes,Missing charges
INV102207,CUST004668,SVC3867,AGT003,30-03-2025,Pending,New Connection,Wallet,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,0,3538.82,28-03-2025,27-04-2025,Circle-West,100,8.28,30,30,No,No anomaly
INV108719,CUST001967,SVC8033,AGT026,08-12-2024,Paid,Bill Payment,UPI,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0,06-12-2024,03-01-2025,Metro-A,1000,276.49,28,38,Yes,Usage mismatch
INV102974,CUST007468,SVC2666,AGT045,24-01-2024,Pending,Recharge,Wallet,Smart Connect,Prepaid,699,125.82,824.82,824.82,0,824.82,22-01-2024,22-02-2024,Metro-B,15,11.47,31,31,No,No anomaly
INV106000,CUST004812,SVC5313,AGT029,27-11-2023,Paid,Plan Change,Net Banking,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0,26-11-2023,27-12-2023,Circle-North,200,118.51,31,31,Yes,Duplicate entries
INV106000,CUST001426,SVC4112,AGT058,21-06-2025,Paid,Renewal,Wallet,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,2948.82,0,18-06-2025,16-07-2025,Circle-South,75,38.93,28,28,Yes,Duplicate entries
INV102033,CUST006814,SVC4484,AGT084,28-10-2023,Pending,Plan Change,Net Banking,Smart Connect,Prepaid,699,125.82,824.82,824.82,0,824.82,24-10-2023,23-11-2023,Rural-Zone,15,5.82,30,30,No,No anomaly
INV107520,CUST002782,SVC9822,AGT074,23-12-2023,Partial,New Connection,Wallet,Youth Special,Prepaid,599,107.82,706.82,706.82,295.66,411.16,21-12-2023,20-01-2024,Circle-West,10,0.32,30,30,Yes,Under payment
INV101995,CUST006261,SVC1324,AGT104,14-04-2024,Pending,Recharge,Net Banking,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0,5898.82,10-04-2024,11-05-2024,Circle-South,200,134.57,31,31,No,No anomaly
INV102210,CUST006251,SVC4289,AGT138,26-03-2024,Paid,Bill Payment,Debit Card,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0,25-03-2024,24-04-2024,Metro-B,200,46.67,30,30,No,No anomaly
INV100548,CUST001947,SVC7088,AGT116,10-12-2023,Paid,Renewal,Debit Card,Basic Starter,Prepaid,399,71.82,470.82,470.82,470.82,0,06-12-2023,03-01-2024,Circle-East,5,2.36,28,28,No,No anomaly
INV105201,CUST004538,SVC9394,AGT054,12-06-2025,Pending,Bill Payment,Cash,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,0,2948.82,10-06-2025,10-07-2025,Rural-Zone,75,58.35,30,30,No,No anomaly
INV100286,CUST003261,SVC9300,AGT074,05-05-2024,Paid,Bill Payment,Auto Debit,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0,04-05-2024,03-06-2024,Circle-South,30,27.04,30,30,No,No anomaly
INV105015,CUST002847,SVC9528,AGT030,16-05-2024,Paid,Plan Change,Net Banking,Basic Starter,Prepaid,399,71.82,470.82,470.82,470.82,0,14-05-2024,11-06-2024,Circle-East,5,1.17,28,28,No,No anomaly
INV103609,CUST002359,SVC4090,AGT034,01-12-2024,Paid,Recharge,Debit Card,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,2948.82,0,28-11-2024,28-12-2024,Circle-North,75,37.19,30,30,No,No anomaly
INV104644,CUST007935,SVC8238,AGT109,31-10-2023,Pending,Bill Payment,UPI,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,0,2948.82,28-10-2023,25-11-2023,Circle-North,75,38.31,28,28,No,No anomaly
INV106210,CUST007220,SVC5621,AGT050,13-04-2024,Paid,Bill Payment,Net Banking,Business Pro,Postpaid,2999,539.82,3538.82,1962.43,1962.43,0,08-04-2024,08-05-2024,Metro-A,100,69.79,30,30,Yes,Missing charges
INV100330,CUST003257,SVC8715,AGT126,08-12-2024,Paid,Renewal,Credit Card,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0,04-12-2024,03-01-2025,Circle-West,30,8.79,30,30,No,No anomaly
INV108277,CUST007429,SVC3839,AGT019,14-04-2025,Paid,Recharge,Net Banking,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0,13-04-2025,14-05-2025,Circle-South,15,5.49,31,39,Yes,Usage mismatch
INV104100,CUST004248,SVC6696,AGT026,22-06-2025,Pending,Renewal,Wallet,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0,4718.82,19-06-2025,20-07-2025,Metro-B,150,7.81,31,31,No,No anomaly
INV106608,CUST005562,SVC2205,AGT130,14-04-2024,Paid,New Connection,Debit Card,Youth Special,Prepaid,599,107.82,706.82,574.23,574.23,0,11-04-2024,12-05-2024,Metro-B,10,2.08,31,31,Yes,Missing charges
INV100744,CUST004083,SVC2626,AGT040,23-11-2023,Pending,Renewal,UPI,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,0,1768.82,20-11-2023,20-12-2023,Rural-Zone,30,21.72,30,30,No,No anomaly
INV106000,CUST007580,SVC8470,AGT095,14-05-2024,Paid,New Connection,UPI,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0,10-05-2024,10-06-2024,Metro-B,500,92.69,31,31,Yes,Duplicate entries
INV101526,CUST001064,SVC5230,AGT044,24-02-2025,Pending,Renewal,Cash,Basic Starter,Prepaid,399,71.82,470.82,470.82,0,470.82,22-02-2025,22-03-2025,Circle-North,5,0.1,28,28,No,No anomaly
INV104291,CUST006755,SVC4235,AGT015,09-09-2024,Pending,Recharge,Auto Debit,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,0,9438.82,04-09-2024,02-10-2024,Metro-B,500,326.1,28,28,No,No anomaly
INV108300,CUST004205,SVC7226,AGT119,05-04-2025,Paid,Renewal,Credit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0,31-03-2025,01-05-2025,Metro-A,1000,626.22,31,22,Yes,Usage mismatch
INV100979,CUST003787,SVC2531,AGT090,05-01-2025,Paid,Recharge,Net Banking,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,2948.82,0,04-01-2025,01-02-2025,Circle-West,75,27.66,28,28,No,No anomaly
INV109327,CUST002313,SVC9238,AGT133,25-11-2024,Paid,New Connection,Auto Debit,Data Booster,Prepaid,999,179.82,1178.82,1178.82,1178.82,0,20-11-2024,21-12-2024,Circle-North,25,61.63,31,31,Yes,Extra data usage
INV103043,CUST006701,SVC4788,AGT019,25-10-2023,Paid,Bill Payment,Debit Card,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,2358.82,0,23-10-2023,23-11-2023,Circle-East,50,35.86,31,31,No,No anomaly
INV105241,CUST006909,SVC1682,AGT049,02-01-2024,Paid,Renewal,Auto Debit,Data Booster,Prepaid,999,179.82,1178.82,1178.82,1178.82,0,29-12-2023,28-01-2024,Metro-B,25,20.81,30,30,No,No anomaly
INV103851,CUST003910,SVC4735,AGT035,15-03-2025,Pending,Renewal,Cash,Smart Connect,Prepaid,699,125.82,824.82,824.82,0,824.82,14-03-2025,11-04-2025,Circle-East,15,10.82,28,28,No,No anomaly
INV106091,CUST003463,SVC2754,AGT109,09-11-2024,Paid,Bill Payment,Debit Card,Business Basic,Enterprise,4999,899.82,5898.82,4606.22,4606.22,0,06-11-2024,06-12-2024,Circle-East,200,76.26,30,30,Yes,Missing charges
INV102169,CUST007936,SVC9057,AGT028,04-04-2024,Pending,Recharge,Debit Card,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0,4718.82,31-03-2024,28-04-2024,Metro-A,150,86.46,28,28,No,No anomaly
INV108153,CUST003235,SVC6230,AGT122,16-06-2025,Partial,Renewal,UPI,Basic Starter,Prepaid,399,71.82,470.82,470.82,142.71,328.11,13-06-2025,11-07-2025,Circle-North,5,2.65,28,28,Yes,Under payment
INV108628,CUST002486,SVC7222,AGT083,17-04-2024,Paid,Renewal,UPI,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,11798.82,0,16-04-2024,17-05-2024,Circle-East,750,427.21,31,43,Yes,Usage mismatch
INV101308,CUST001842,SVC8250,AGT011,03-09-2023,Paid,Plan Change,Wallet,Basic Starter,Prepaid,399,71.82,470.82,470.82,470.82,0,31-08-2023,01-10-2023,Metro-B,5,1.54,31,31,No,No anomaly
INV101601,CUST001622,SVC9070,AGT056,10-09-2024,Paid,Plan Change,Net Banking,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0,05-09-2024,05-10-2024,Circle-West,500,299.66,30,30,No,No anomaly
INV108415,CUST003953,SVC4807,AGT003,08-03-2025,Paid,Plan Change,Auto Debit,Basic Starter,Prepaid,399,71.82,470.82,470.82,470.82,0,07-03-2025,06-04-2025,Metro-A,5,3.62,30,38,Yes,Usage mismatch
INV106284,CUST006615,SVC6961,AGT036,02-09-2024,Paid,Renewal,Net Banking,Travel Pack,Prepaid,1299,233.82,1532.82,1361.91,1361.91,0,31-08-2024,01-10-2024,Circle-North,40,9.57,31,31,Yes,Missing charges
INV100813,CUST000689,SVC5834,AGT114,29-01-2024,Paid,Bill Payment,UPI,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0,26-01-2024,23-02-2024,Metro-B,500,63.81,28,28,No,No anomaly
INV102633,CUST006064,SVC4227,AGT020,15-01-2024,Paid,Recharge,Wallet,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0,13-01-2024,12-02-2024,Metro-A,30,21.97,30,30,No,No anomaly
INV105436,CUST001352,SVC4014,AGT100,20-03-2025,Pending,Renewal,Credit Card,Basic Starter,Prepaid,399,71.82,470.82,470.82,0,470.82,17-03-2025,16-04-2025,Circle-West,5,3.29,30,30,No,No anomaly
INV107644,CUST006752,SVC5744,AGT058,23-12-2023,Partial,Plan Change,UPI,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,11473.75,3865.07,22-12-2023,22-01-2024,Rural-Zone,1000,525.67,31,31,Yes,Under payment
INV103224,CUST006572,SVC3709,AGT068,06-02-2025,Pending,Plan Change,UPI,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,0,2948.82,01-02-2025,04-03-2025,Rural-Zone,75,19.98,31,31,No,No anomaly
INV108711,CUST005986,SVC4149,AGT025,23-03-2025,Paid,Plan Change,UPI,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0,20-03-2025,19-04-2025,Rural-Zone,200,83.3,30,28,Yes,Usage mismatch
INV103653,CUST005517,SVC3584,AGT041,07-02-2025,Paid,New Connection,Credit Card,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0,02-02-2025,05-03-2025,Circle-South,500,43.25,31,31,No,No anomaly
INV100006,CUST002006,SVC3677,AGT119,31-12-2024,Paid,Recharge,UPI,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0,30-12-2024,30-01-2025,Circle-West,1000,507.43,31,31,No,No anomaly
INV108553,CUST007210,SVC3667,AGT097,15-06-2024,Paid,Bill Payment,Auto Debit,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,4718.82,0,14-06-2024,15-07-2024,Rural-Zone,150,136.36,31,46,Yes,Usage mismatch
INV108090,CUST004250,SVC1829,AGT090,10-12-2024,Partial,Renewal,Credit Card,Smart Connect,Prepaid,699,125.82,824.82,824.82,462.85,361.97,09-12-2024,06-01-2025,Circle-South,15,7.56,28,28,Yes,Under payment
INV104112,CUST003490,SVC2554,AGT024,15-10-2023,Paid,Bill Payment,UPI,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0,10-10-2023,10-11-2023,Rural-Zone,15,4.1,31,31,No,No anomaly
INV101709,CUST002311,SVC3885,AGT026,18-04-2024,Paid,New Connection,UPI,Data Booster,Prepaid,999,179.82,1178.82,1178.82,1178.82,0,17-04-2024,18-05-2024,Metro-A,25,18.15,31,31,No,No anomaly
INV108257,CUST006281,SVC7190,AGT130,27-06-2025,Paid,Bill Payment,Cash,Executive Plan,Postpaid,2499,449.82,2948.82,2948.82,2948.82,0,24-06-2025,24-07-2025,Circle-West,75,42.99,30,26,Yes,Usage mismatch
